TIME,H_SIN,H_COS,DOY_SIN,DOY_COS,TEMP,HUMI,CLOU,WISP,WIDE_SIN,WIDE_COS,SUN_ELEV_CLIP,COS_ZEN,IRRADIANCE,EST_IRRADIANCE,IRRADIANCE_PROXY,IRRADIANCE_X_CAPA,CAPA,SEASONAL_SOLAR_PATTERN,WEATHER_ADJUSTED_PATTERN,EXPECTED_GEN_PROXY,GEN_LAG_2,dust_coverage_ratio,snow_coverage_ratio,bird_dropping_count,physical_damage_count,max_defect_confidence,cls_normal,cls_dust,cls_snow,cls_bird,cls_damage,PREDICTION,ACTUAL,ERROR,ANOMALY
2026-02-13 10:00:00,0.49999999999999994,-0.8660254037844387,0.6870527672236669,0.7266075247685656,4.02,65.0,47.0,3.17,0.3255681544571566,-0.9455185755993168,0.8660254037844386,0.8660254037844386,0.0,0.45899346400575247,0.8660254037844386,444.47779570657053,968.375,0.41671856816156105,0.32146124964769573,311.29503762758736,94.47000000000004,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,345.1652467126731,437.81000000000006,92.64475328732698,0
2026-02-13 11:00:00,0.258819045102521,-0.9659258262890682,0.6870527672236669,0.7266075247685656,7.04,62.0,49.0,3.13,-0.12186934340514731,-0.9925461516413221,0.9659258262890683,0.9659258262890683,0.0,0.49262217140742487,0.9659258262890683,477.04299523666504,968.375,0.5501488484934853,0.4083760754875721,395.46118210027765,239.33,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,483.3303892771991,549.0199999999999,65.68961072280075,0
2026-02-13 12:00:00,1.2246467991473532e-16,-1.0,0.6870527672236669,0.7266075247685656,8.06,61.0,60.0,3.73,-0.5591929034707467,-0.8290375725550417,1.0,1.0,0.0,0.4,1.0,387.35,968.375,0.6499240707938235,0.3783837875627062,366.4174002810356,437.81000000000006,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,481.2156826540098,575.86,94.6443173459902,0
2026-02-13 13:00:00,-0.2588190451025208,-0.9659258262890683,0.6870527672236669,0.7266075247685656,8.33,63.0,64.0,4.99,-0.6819983600624984,-0.7313537016191706,0.9659258262890683,0.9659258262890683,0.0,0.34773329746406456,0.9659258262890683,336.73623193176354,968.375,0.6870527672236669,0.36,348.615,549.0199999999999,0.0,0.0,6.5927215139141335,-0.0690649787986557,0.8904632673810011,0,0,0,0,1,379.9205105478534,575.85,195.92948945214664,0
2026-02-13 14:00:00,-0.4999999999999997,-0.8660254037844388,0.6870527672236669,0.7266075247685656,8.46,64.0,69.0,4.41,-0.7071067811865475,-0.7071067811865477,0.8660254037844387,0.8660254037844387,0.0,0.26846787517317605,0.8660254037844387,259.9775786208244,968.375,0.6499240707938235,0.2932474353610973,283.9734852178026,575.86,0.0,0.0259170847162925,-0.1313459941718111,-0.0690649787986557,0.9038094275294132,0,0,0,0,1,330.6849568419563,496.79,166.1050431580437,0
2026-02-13 15:00:00,-0.7071067811865471,-0.7071067811865479,0.6870527672236669,0.7266075247685656,8.35,66.0,72.0,4.1,-0.754709580222772,-0.6560590289905073,0.7071067811865476,0.7071067811865476,0.0,0.19798989873223333,0.7071067811865476,191.72846818482645,968.375,0.5501488484934853,0.22420647281670628,217.11594311387793,575.85,0.0,0.0826866632023989,-0.1313459941718111,-0.0690649787986557,0.9317496732408186,0,0,0,0,1,263.1123862234153,371.8,108.68761377658473,0
2026-02-13 16:00:00,-0.8660254037844385,-0.5000000000000004,0.6870527672236669,0.7266075247685656,8.12,69.0,82.0,4.17,-0.8290375725550418,-0.5591929034707466,0.49999999999999994,0.49999999999999994,0.0,0.09000000000000001,0.49999999999999994,87.15375000000002,968.375,0.41671856816156105,0.10917551874827404,105.72284296785988,496.79,0.0,0.1132156462934831,-0.1313459941718111,-0.0690649787986557,0.944522986693906,0,0,0,0,1,125.59612487311394,195.33,69.73387512688608,0
2026-02-13 17:00:00,-0.9659258262890683,-0.25881904510252063,0.6870527672236669,0.7266075247685656,7.41,75.0,75.0,3.35,-0.7313537016191705,-0.6819983600624986,0.258819045102521,0.258819045102521,0.0,0.06470476127563025,0.258819045102521,62.65847320028845,968.375,0.2824558368326232,0.10277807262679686,99.52771607997441,371.8,0.0,0.0,-0.1313459941718111,5.4419572843891935,0.8710588267141441,0,0,0,0,1,18.943646694019506,53.80999999999998,34.866353305980475,0
2026-02-13 18:00:00,-1.0,-1.8369701987210297e-16,0.6870527672236669,0.7266075247685656,8.95,61.0,0.0,2.63,-0.7880107536067221,-0.6156614753256581,1.2246467991473532e-16,1.2246467991473532e-16,0.0,1.2246467991473532e-16,1.2246467991473532e-16,1.185917344124318e-13,968.375,0.1713181250537749,0.24935220877729622,241.46644517471424,195.33,0.0,0.0,-0.1313459941718111,6.694462344204614,0.9237368266221532,0,0,0,0,1,10.52464635330265,1.11,9.41464635330265,0
2026-02-13 19:00:00,-0.9659258262890684,0.2588190451025203,0.6870527672236669,0.7266075247685656,8.17,66.0,7.0,2.37,-0.7986355100472928,-0.6018150231520483,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.0929824808507135,0.12586181341004982,121.88143356095699,53.80999999999998,0.1079491167978417,0.0,-0.1313459941718111,-0.0690649787986557,0.8669896687562644,0,0,0,0,1,2.7316482200292675,0.0,2.7316482200292675,0
