TIME,H_SIN,H_COS,DOY_SIN,DOY_COS,TEMP,HUMI,CLOU,WISP,WIDE_SIN,WIDE_COS,SUN_ELEV_CLIP,COS_ZEN,IRRADIANCE,EST_IRRADIANCE,IRRADIANCE_PROXY,IRRADIANCE_X_CAPA,CAPA,SEASONAL_SOLAR_PATTERN,WEATHER_ADJUSTED_PATTERN,EXPECTED_GEN_PROXY,GEN_LAG_2,dust_coverage_ratio,snow_coverage_ratio,bird_dropping_count,physical_damage_count,max_defect_confidence,cls_normal,cls_dust,cls_snow,cls_bird,cls_damage,PREDICTION,ACTUAL
2025-11-05 11:00:00,0.258819045102521,-0.9659258262890682,-0.8214765533024145,0.5702422926917867,13.99,48.0,100.0,3.23,0.766044443118978,0.6427876096865394,0.9659258262890683,0.9659258262890683,461.58,0.0,0.9659258262890683,0.0,968.375,0.0,0.0,0.0,338.46000000000004,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,511.4037689136026,583.2
2025-11-05 12:00:00,1.2246467991473532e-16,-1.0,-0.8214765533024145,0.5702422926917867,15.39,47.0,98.0,3.37,0.6946583704589973,0.7193398003386512,1.0,1.0,567.6,0.020000000000000018,1.0,19.367500000000017,968.375,0.0,0.018919189378135325,18.320870014051795,477.1099999999999,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,612.7831944551043,575.45
2025-11-05 13:00:00,-0.2588190451025208,-0.9659258262890683,-0.8214765533024145,0.5702422926917867,16.33,47.0,98.0,2.94,0.6560590289905073,0.754709580222772,0.9659258262890683,0.9659258262890683,556.7,0.019318516525781385,0.9659258262890683,18.70756844065355,968.375,0.0,0.020000000000000018,19.367500000000017,583.2,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,559.5674651183724,346.33
2025-11-05 14:00:00,-0.4999999999999997,-0.8660254037844388,-0.8214765533024145,0.5702422926917867,16.96,47.0,98.0,2.8,0.4694715627858908,0.882947592858927,0.8660254037844387,0.8660254037844387,500.1,0.01732050807568879,0.8660254037844387,16.772747007795132,968.375,0.0,0.018919189378135325,18.320870014051795,575.45,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,456.2612259829719,364.51
2025-11-05 15:00:00,-0.7071067811865471,-0.7071067811865479,-0.8214765533024145,0.5702422926917867,17.17,48.0,99.0,2.87,0.3255681544571567,0.9455185755993168,0.7071067811865476,0.7071067811865476,388.5,0.007071067811865482,0.7071067811865476,6.8474452923152365,968.375,0.0,0.008007374029168087,7.7541408254956465,346.33,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,260.4334350093079,286.26
2025-11-05 16:00:00,-0.8660254037844385,-0.5000000000000004,-0.8214765533024145,0.5702422926917867,17.03,52.0,49.0,2.42,0.4383711467890774,0.898794046299167,0.49999999999999994,0.49999999999999994,254.9,0.25499999999999995,0.49999999999999994,246.93562499999996,968.375,0.0,0.30933063645344305,299.5480550756029,364.51,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,94.88616907118706,106.52
2025-11-05 17:00:00,-0.9659258262890683,-0.25881904510252063,-0.8214765533024145,0.5702422926917867,15.49,60.0,75.0,1.93,0.4694715627858908,0.882947592858927,0.258819045102521,0.258819045102521,104.72,0.06470476127563025,0.258819045102521,62.65847320028845,968.375,0.0,0.10277807262679686,99.52771607997441,286.26,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,6.216460097918123,10.430000000000003
2025-11-05 18:00:00,-1.0,-1.8369701987210297e-16,-0.8214765533024145,0.5702422926917867,14.04,63.0,50.0,2.42,0.5591929034707469,0.8290375725550417,1.2246467991473532e-16,1.2246467991473532e-16,7.93,6.123233995736766e-17,1.2246467991473532e-16,5.92958672062159e-14,968.375,0.0,0.12467610438864811,120.73322258735712,106.52,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,0.8592945215015725,0.0
2025-11-05 19:00:00,-0.9659258262890684,0.2588190451025203,-0.8214765533024145,0.5702422926917867,13.33,64.0,40.0,3.0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.0,0.08120116994196762,78.63318294255289,10.430000000000003,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,-0.0008255098331108512,0.0
2025-11-05 20:00:00,-0.8660254037844386,0.5000000000000001,-0.8214765533024145,0.5702422926917867,12.73,66.0,32.0,3.08,0.4067366430758002,0.9135454576426009,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.0,0.04469539945924072,43.28190745134223,0.0,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,0.0,0.0
